User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
adminBusiness,ASIA5UTPZ2TUNLXIUBR6,2024-01-09T10:56:45Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,157.193.158.250,AWS Internal,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSBillingConductorFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",50042063-4ee5-46cc-9009-4d6177884ac3,ed3081c2-a361-412a-8e57-689393cd6e75,false,AwsApiCall,937611089128,Management
adminBusiness,ASIA5UTPZ2TUIKZMDNWG,2024-01-09T10:54:24Z,iam.amazonaws.com,AddUserToGroup,us-east-1,157.193.158.250,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",2c83b10b-75d7-4bce-98a7-e4a90455e1df,3d0be358-e7b7-4e26-b91a-a1882607cbda,false,AwsApiCall,937611089128,Management
adminBusiness,ASIA5UTPZ2TUIKZMDNWG,2024-01-09T10:54:24Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,157.193.158.250,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",e404fdda-a78a-4b8b-9d10-ce9a57a20f07,601ae3f3-f112-4aab-9ade-91e53317d08c,false,AwsApiCall,937611089128,Management
adminBusiness,ASIA5UTPZ2TUIKZMDNWG,2024-01-09T10:54:23Z,iam.amazonaws.com,CreateUser,us-east-1,157.193.158.250,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::937611089128:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA5UTPZ2TULULSRLB5P""}]",f614cf55-a661-4a0f-b9a9-3a58da2cc9fd,b999abd5-81c3-4df2-b4f7-4adc2e408680,false,AwsApiCall,937611089128,Management
CloudTrail,ASIA5UTPZ2TUOKE6CAH4,2024-01-09T10:49:54Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,157.193.158.250,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:937611089128:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-937611089128-b658176c""}]",c8094f40-efdb-4db5-92b6-4c9a788af847,2d3436d8-3bc0-424d-b627-f863af78a74f,false,AwsApiCall,937611089128,Management
CloudTrail,ASIA5UTPZ2TUOKE6CAH4,2024-01-09T10:49:54Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,157.193.158.250,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:937611089128:trail/Udacity_Trail""}]",87480009-58bc-4698-b480-bf1ca32c5f78,3b0c189e-1297-4430-809d-0f47e2b599a6,false,AwsApiCall,937611089128,Management
CloudTrail,ASIA5UTPZ2TUOKE6CAH4,2024-01-09T10:49:54Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,157.193.158.250,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.12.597 Linux/5.10.201-168.748.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.392-b09 java/1.8.0_392 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-937611089128-b658176c""}]",64C0KMKFZR23RN9G,acf7851e-8a55-4830-8271-f0843072b5f7,false,AwsApiCall,937611089128,Management
CloudTrail,ASIA5UTPZ2TUOKE6CAH4,2024-01-09T10:49:54Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,157.193.158.250,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:937611089128:trail/Udacity_Trail""}]",77579dd0-b171-4338-893a-bb33d5473600,c5622bee-efa9-4562-acd7-e61820431ae3,false,AwsApiCall,937611089128,Management
CloudTrail,ASIA5UTPZ2TUOKE6CAH4,2024-01-09T10:49:54Z,s3.amazonaws.com,CreateBucket,us-east-1,157.193.158.250,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.12.597 Linux/5.10.201-168.748.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.392-b09 java/1.8.0_392 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-937611089128-b658176c""}]",64C45A4PWFR3QF77,cdbd1163-0feb-4e2c-8f24-9b720804da88,false,AwsApiCall,937611089128,Management
CloudTrail,ASIA5UTPZ2TUOKE6CAH4,2024-01-09T10:49:54Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,157.193.158.250,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.12.597 Linux/5.10.201-168.748.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.392-b09 java/1.8.0_392 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-937611089128-b658176c""}]",64C79E2DKA9G1NEY,e51af135-4f76-4938-8dc1-0c3258b4abc7,false,AwsApiCall,937611089128,Management
